"","country","latitude","longitude","number_samples","data_type"
"1","Argentina",-38.416097,-63.616672,1,"faecal"
"2","Bangladesh",23.685,90.3563,10,"faecal"
"3","Benin",9.30769,2.315834,25,"faecal"
"4","DRC",-4.0383,21.7587,2,"faecal"
"5","Ethiopia",9.145,40.4897,3,"faecal"
"6","India",20.593684,78.96288,25,"faecal"
"7","Kenya",-0.023559,37.906193,7,"faecal"
"8","Malawi",-13.254308,34.301525,25,"faecal"
"9","Myanmar",21.916222,95.955971,38,"faecal"
"10","Nigeria",9.082,8.6753,11,"faecal"
"11","South_Africa",-30.559482,22.937506,7,"faecal"
"12","Sri_Lanka",7.8731,80.7718,7,"faecal"
"13","Uganda",1.373333,32.290276,29,"faecal"
"14","Malaysia",3.140853,101.524803,650,"faecal"
"15","Italy",41.8719,12.5674,2,"faecal"
