"","country","latitude","longitude","number_samples","data_type"
"1","Cameroon",7.3697,12.3547,6,"worm_egg"
"2","China",35.8617,104.1954,8,"worm_egg"
"3","Ethiopia",9.145,40.4897,2,"worm_egg"
"4","Fiji",17.7134,178.065,2,"worm_egg"
"5","Guadeloupe",16.265,-61.551,4,"worm_egg"
"6","Kenya",-0.023559,37.906193,69,"worm_egg"
"7","Mozambique",-18.665695,35.529562,20,"worm_egg"
"8","Senegal",14.717,-17.46,1,"worm_egg"
"9","Tanzania",-6.369,34.8888,5,"worm_egg"
"10","Thailand",15.87,100.9925,15,"worm_egg"
"11","Uganda",1.373333,32.290276,15,"worm_egg"
"12","USA",37.0902,-95.7129,1,"worm_egg"
"13","Ecuador",1.8312,-78.1834,1,"worm_egg"
"14","Puerto_Rico",18.200178,-66.5901,1,"worm_egg"
"15","Honduras",15.2,-86.2419,8,"worm_egg"
