"","Ancylostoma ceylanicum","Ascaris lumbricoides","Enterobius vermicularis","Necator americanus","Schistosoma mansoni","Strongyloides stercoralis","Trichuris trichiura"
"BEN001_trimmed",0,24.3043145510783,0,0,0,0,0
"BEN002_trimmed",0,33.7072748296579,0,0,0,0,0
"BEN003_trimmed",0,21.4278654136351,0,0,0,0,0
"BEN005_trimmed",0,334.722707416924,0,0,0,0,0
"BEN006_trimmed",0,204.969599112149,0,0,0,0,0
"BEN007_trimmed",0,195.504338731628,0,0,0,0,0
"BEN008_trimmed",0,108.032721283667,0,0,0,0,0
"BEN009_trimmed",0,42.7677709537025,0,0,0,0,0
"BEN010_trimmed",0,178.312875010798,0,0,0,0,0
"BEN011_trimmed",0,87.1271056480013,0,0,0,0,0
"BEN012_trimmed",0,58.6799715857422,0,0,0,0,0
"BEN013_trimmed",0,44.2921424669845,0,0,0,0,0
"BEN014_trimmed",0,190.502338711489,0,0,0,0,0
"BEN015_trimmed",0,113.594722184961,0,0,0,0,0
"BEN017_trimmed",0,231.048447829597,0,0,0,0,0
"BEN018_trimmed",0,279.7974879081,0,0,0,0,0
"BEN019_trimmed",0,362.456844091221,0,0,0,0,0
"BEN020_trimmed",0,27.6334788596512,0,0,0,0,0
"BEN021_trimmed",0,158.637871218723,0,0,0,0,0
"BEN023_trimmed",0,65.0530951366348,0,0,0,0,0
"BEN024_trimmed",0,179.077961860789,0,0,0,0,0
"BEN025_trimmed",0,592.880931503945,0,0,0,0,0
"COD_M104_trimmed",0,19.0064543145278,0,0,0,0,0
"ETH_ET103_trimmed",0,408.6109742395,0,0,20.2406289390021,0,0
"KEN001_trimmed",0,18.1392190482945,0,0,0,0,0
"KEN002_trimmed",0,92.6362560347306,0,0,0,0,0
"KEN005_trimmed",0,25.6620524632641,0,0,0,0,0
"KEN008_trimmed",0,234.542201162219,0,0,0,0,0
"KEN006_trimmed",0,0,0,0,346.858237029701,0,0
"MWI001_trimmed",0,0,0,118.667731577933,0,0,0
"MWI019_trimmed",0,0,0,392.042425203893,0,0,0
"NGA005_trimmed",0,12.3015215569143,0,0,0,0,0
"NGA007_trimmed",0,696.575930536151,0,0,0,0,0
"NGA010_trimmed",0,158.525941174223,0,0,0,0,0
"NGA011_trimmed",0,2150.89592404565,0,13.0993631877966,0,0,0
"NGA006_trimmed",0,0,0,11.528609087772,0,0,0
"NGA008_trimmed",0,0,0,0,34.3425497003868,0,0
"ZAF001_trimmed",0,35.7612544540498,0,0,0,0,0
"ZAF002_trimmed",0,24261.9069500489,0,0,0,0,188.639553430357
"ZAF003_trimmed",0,17507.1967500598,0,0,0,0,0
"ZAF004_trimmed",0,21267.8208722114,0,0,0,0,16.8532815885253
"ZAF005_trimmed",0,93767.0524048279,0,0,0,0,19.5660302552257
"ZAF006_trimmed",0,9506.89831682958,0,29.2676910543003,0,0,507.345373074575
"UGA016_trimmed",0,0,0,86.351200003663,0,0,0
"UGA001_trimmed",0,0,0,0,75.0241985230307,0,0
"UGA004_trimmed",0,0,0,0,50.9750709669345,0,0
"UGA008_trimmed",0,0,0,0,19.9323871005613,0,0
"UGA017_trimmed",0,0,0,0,32.9142253677411,0,0
"UGA030_trimmed",0,0,0,0,24.4820499746257,0,0
"UGA_BLANK_trimmed",0,0,0,0,64.0141937391494,0,0
"BGD001_trimmed",0,12.3776325410245,0,0,0,0,0
"BGD006_trimmed",0,794.26180190752,0,0,0,0,0
"BGD008_trimmed",0,234.189231740212,0,0,0,0,0
"BGD009_trimmed",0,25.9132452881985,0,0,0,0,0
"BGD010_trimmed",0,37.5739201258603,0,0,0,0,0
"BGD003_trimmed",0,0,0,13.8121196742695,0,0,0
"BGD007_trimmed",0,0,0,14.226909819423,0,0,0
"IND007_trimmed",0,0,0,17.2410745671327,0,0,0
"IND011_trimmed",0,0,0,90.1724519103266,0,0,0
"IND016_trimmed",0,0,0,11.6050896666127,0,0,0
"MYS555_trimmed",16.0854550661287,0,0,0,0,0,0
"MYS050_trimmed",0,11.8231868077726,0,0,0,0,0
"MYS055_trimmed",0,46.1790129759882,0,16.157845995592,0,0,23.4758110604474
"MYS056_trimmed",0,97.0108778708775,0,0,0,23.9880796006871,0
"MYS057_trimmed",0,40.64901299063,0,0,0,0,0
"MYS070_trimmed",0,165.121541018359,0,0,0,0,0
"MYS072_trimmed",0,172.646976018378,0,10.3557367124207,0,0,0
"MYS077_trimmed",0,118.355794390201,0,11.2942374106208,0,0,0
"MYS080_trimmed",0,136.428243186529,0,0,0,0,0
"MYS119_trimmed",0,22.9293020415134,0,0,0,0,16.6520901962354
"MYS153_trimmed",0,53.6389048950923,0,0,0,0,0
"MYS156_trimmed",0,39.3698205011049,0,0,0,0,24.0171040827116
"MYS159_trimmed",0,113.34220005191,0,0,0,0,0
"MYS213_trimmed",0,479.226757232093,0,0,0,0,0
"MYS214_trimmed",0,480.891092158116,0,0,0,0,0
"MYS215_trimmed",0,242.430933422052,0,0,0,0,0
"MYS216_trimmed",0,221.531514055195,0,0,0,0,0
"MYS243_trimmed",0,77.5325785716832,0,0,0,0,0
"MYS245_trimmed",0,67.8689883533004,0,0,0,0,17.2511217192347
"MYS246_trimmed",0,166.680697245488,0,13.9970130826185,0,0,0
"MYS316_trimmed",0,318.903366027674,0,0,0,0,0
"MYS319_trimmed",0,90.8292117455172,0,0,0,0,0
"MYS322_trimmed",0,105.932465567072,0,0,0,0,0
"MYS326_trimmed",0,24.5964356059839,0,0,0,0,0
"MYS337_trimmed",0,211.967115332226,0,26.6999106863023,0,0,0
"MYS340_trimmed",0,154.494772354672,0,0,0,0,0
"MYS341_trimmed",0,163.454857871586,0,14.2980449912049,0,0,0
"MYS342_trimmed",0,1225.46265325716,0,0,0,0,0
"MYS343_trimmed",0,649.963884041189,0,0,0,0,0
"MYS344_trimmed",0,80.1735328743813,0,0,0,0,0
"MYS345_trimmed",0,764.535582377041,0,0,0,0,0
"MYS351_trimmed",0,213.978617109533,0,0,0,0,0
"MYS353_trimmed",0,10.881578132622,0,0,0,0,0
"MYS354_trimmed",0,167.701662217895,0,13.2856119109027,0,0,0
"MYS355_trimmed",0,285.487045028437,0,0,0,0,0
"MYS362_trimmed",0,61.080686699743,0,0,0,0,0
"MYS363_trimmed",0,97.5887963243525,0,0,0,0,0
"MYS367_trimmed",0,247.378314904582,0,0,0,0,0
"MYS423_trimmed",0,62.3005920507632,0,0,0,0,0
"MYS424_trimmed",0,52.8537087100602,0,0,0,0,0
"MYS497_trimmed",0,62.745765857313,0,0,0,0,0
"MYS498_trimmed",0,23.2151324733914,0,0,0,0,0
"MYS500_trimmed",0,14.5687709566103,0,0,0,0,0
"MYS503_trimmed",0,211.384065880383,0,11.5266096587398,0,0,0
"MYS505_trimmed",0,40.0957649742999,0,0,0,0,0
"MYS514_trimmed",0,269.939259136034,0,0,0,0,0
"MYS526_trimmed",0,268.696341094184,0,12.2629226696261,0,0,0
"MYS527_trimmed",0,118.427786397148,0,0,0,0,0
"MYS632_trimmed",0,55.6810795459676,0,0,0,0,0
"MYS024_trimmed",0,0,0,49.0501597560949,0,0,0
"MYS035_trimmed",0,0,0,34.5149209153327,0,0,0
"MYS051_trimmed",0,0,0,31.7120675931051,0,0,0
"MYS054_trimmed",0,0,0,88.9527272548954,0,0,0
"MYS059_trimmed",0,0,0,21.5060543166672,0,0,0
"MYS113_trimmed",0,0,0,17.2567331829824,0,0,0
"MYS186_trimmed",0,0,0,17.9350023521264,0,0,0
"MYS202_trimmed",0,0,0,31.0361870507669,0,0,0
"MYS203_trimmed",0,0,0,10.5369466136267,0,0,0
"MYS209_trimmed",0,0,0,27.4806447189539,0,0,0
"MYS210_trimmed",0,0,0,11.5695530783828,0,0,0
"MYS347_trimmed",0,0,0,15.0950580545561,0,0,0
"MYS352_trimmed",0,0,0,42.125591407444,0,0,0
"MYS380_trimmed",0,0,0,17.6296767680161,0,0,0
"MYS394_trimmed",0,0,0,28.3971430289805,0,0,0
"MYS420_trimmed",0,0,0,16.8470940572803,0,0,0
"MYS472_trimmed",0,0,0,22.2854064926053,0,0,0
"MYS483_trimmed",0,0,0,17.063779881802,0,0,0
"MYS494_trimmed",0,0,0,18.527545311518,0,0,0
"MYS495_trimmed",0,0,0,11.0134129011776,0,0,0
"MYS507_trimmed",0,0,0,58.232475098942,0,0,0
"MYS511_trimmed",0,0,0,17.2643797221857,0,0,0
"MYS525_trimmed",0,0,0,11.6797285477193,0,0,0
"MYS616_trimmed",0,0,0,28.468773995351,0,0,0
"MYS123_trimmed",0,0,0,0,0,0,17.2833120624034
"MYS306_trimmed",0,0,0,0,0,0,22.6446178473482
"MYS338_trimmed",0,0,0,0,0,0,38.0992590934618
"MYS346_trimmed",0,0,0,0,0,0,12.1768794233418
"MYS444_trimmed",0,0,0,0,0,0,280.482693327128
"MYS565_trimmed",0,0,0,0,0,0,14.0814340255199
"MMR006_trimmed",13.5550616973056,562.981244118189,0,0,0,0,0
"MMR027_trimmed",10.1782360727596,0,0,0,0,0,12.3731582615954
"MMR001_trimmed",0,942.063186810648,0,0,0,0,0
"MMR002_trimmed",0,48577.1402431032,0,0,0,0,12.1075864034406
"MMR007_trimmed",0,11879.2576081439,0,0,0,0,0
"MMR008_trimmed",0,1480.0302943531,0,0,0,0,0
"MMR009_trimmed",0,479.231030706317,0,0,0,0,0
"MMR010_trimmed",0,281.0482169958,0,0,0,0,27.5596795993091
"MMR013_trimmed",0,5228.99480026236,0,0,0,0,0
"MMR015_trimmed",0,962.974748432322,0,0,0,0,0
"MMR016_trimmed",0,11399.4020508523,0,0,0,0,0
"MMR017_trimmed",0,423.582383718171,100.013646687109,0,0,0,0
"MMR020_trimmed",0,709.297330495723,0,0,0,0,0
"MMR024_trimmed",0,1414.25458518257,0,0,0,0,0
"MMR025_trimmed",0,1038.04384789227,0,0,0,0,0
"MMR026_trimmed",0,3663.49007841774,0,0,0,0,0
"MMR028_trimmed",0,858.513950723174,0,0,0,0,0
"MMR030_trimmed",0,717.526314505907,0,55.5416536914242,0,0,0
"MMR031_trimmed",0,103.30575613825,0,0,0,0,0
"MMR032_trimmed",0,366.281489269828,0,0,0,0,0
"MMR033_trimmed",0,411.860169463599,0,0,0,0,56.909350928281
"MMR034_trimmed",0,816.637862561048,0,0,0,0,0
"MMR_NDK113_trimmed",0,9259.77212446506,17.5386810040819,0,0,0,46.6266363092997
"MMR_NDK63_trimmed",0,19179.0715817068,0,0,0,0,0
"MMR_NKD92_trimmed",0,37851.7165896595,0,0,0,0,79.6468339797504
"MMR_TKU102_trimmed",0,35524.279103662,0,0,0,0,0
"MMR_TKU23_trimmed",0,6086.7091741638,0,0,0,0,0
"MMR_TKU25_trimmed",0,33522.3281945462,0,0,0,0,0
"MMR003_trimmed",0,0,0,39.5221560069127,0,0,0
"MMR004_trimmed",0,0,0,57.3834561498211,0,0,0
"MMR014_trimmed",0,0,0,17.0890430471645,0,0,10.7591257245363
"LKA_HA15_trimmed",0,66.8817965456872,0,0,0,0,0
"LKA_HA16I_trimmed",0,19.3448160225863,0,0,0,0,0
"LKA_HA9_trimmed",0,37.4375125046405,0,0,0,0,0
"LKA_MA1G_trimmed",0,16.227987221089,0,0,0,0,0
"ARG001_trimmed",0,21.2873306029062,0,0,0,0,0
