"","Ancylostoma duodenale","Ascaris lumbricoides","Enterobius vermicularis","Necator americanus","Schistosoma mansoni","Strongyloides stercoralis","Trichuris trichiura"
"CMR002_trimmed",0,0,0,25.3596297226719,0,0,1200.53703091083
"CMR004_trimmed",0,0,0,14.3543849321815,0,0,1911.75911026771
"CMR_SMANS001_trimmed",0,0,0,0,357231.131482442,0,0
"CMR001_trimmed",0,0,0,0,0,0,11076.4451722731
"CMR003_trimmed",0,0,0,0,0,0,494.833209682921
"CMR005_trimmed",0,0,0,0,0,0,790.851598697735
"ETH001_trimmed",0,3399762.54941615,0,0,0,0,0
"ETH002_trimmed",0,461255.476104127,0,0,0,0,0
"KEN_ALUM001_trimmed",0,7628781.98424353,0,0,0,0,0
"KEN_ALUM002_trimmed",0,4898493.95447575,0,0,0,0,0
"KEN_ALUM003_trimmed",0,4685668.73883256,0,0,0,0,0
"KEN_ALUM004_trimmed",0,877859.055709676,0,0,0,0,0
"KEN_ALUM005_trimmed",0,1626931.0773929,0,0,0,0,0
"KEN_ALUM006_trimmed",0,3055399.65319739,0,0,0,0,0
"KEN_ALUM007_trimmed",0,1576007.17174231,0,0,0,0,0
"KEN_ALUM008_trimmed",0,5009794.99648915,0,0,0,0,0
"KEN_ALUM009_trimmed",0,4559642.76163797,0,0,0,0,0
"KEN_ALUM010_trimmed",0,3229323.30946122,0,0,0,0,0
"KEN_ALUM011_trimmed",0,1018951.24829946,0,0,0,0,0
"KEN_ALUM012_trimmed",0,1131855.50267571,0,0,0,0,0
"KEN_ALUM013_trimmed",0,1137730.96409074,0,0,0,0,0
"KEN_ALUM014_trimmed",0,526437.077875959,0,0,0,0,0
"KEN_ALUM015_trimmed",0,992542.194798894,0,0,0,0,0
"KEN_ALUM016_trimmed",0,973564.80199972,0,0,0,0,0
"KEN_ALUM017_trimmed",0,3941355.96884449,0,0,0,0,0
"KEN_ALUM018_trimmed",0,1844436.33923803,0,0,0,0,0
"KEN_ALUM019_trimmed",0,1262821.71165604,0,0,0,0,0
"KEN_ALUM020_trimmed",0,3112552.22413235,0,0,0,0,0
"KEN_ALUM021_trimmed",0,845756.514166415,0,0,0,0,0
