"country","country","country","country","country","country","country"
"Cameroon","Cameroon","Cameroon","Cameroon","Cameroon","Cameroon","Cameroon"
"Cameroon","Cameroon","Cameroon","Cameroon","Cameroon","Cameroon","Cameroon"
"Cameroon","Cameroon","Cameroon","Cameroon","Cameroon","Cameroon","Cameroon"
"Cameroon","Cameroon","Cameroon","Cameroon","Cameroon","Cameroon","Cameroon"
"Cameroon","Cameroon","Cameroon","Cameroon","Cameroon","Cameroon","Cameroon"
"Cameroon","Cameroon","Cameroon","Cameroon","Cameroon","Cameroon","Cameroon"
"Ethiopia","Ethiopia","Ethiopia","Ethiopia","Ethiopia","Ethiopia","Ethiopia"
"Ethiopia","Ethiopia","Ethiopia","Ethiopia","Ethiopia","Ethiopia","Ethiopia"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
"Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya"
