"","chrom","snp_count","pi","sample_id","country","sample_type"
"1","Ascaris suum - USA",84,0.105912334,"MMR_NDK113","Myanmar","pools"
"2","Ascaris suum - USA",96,0.090293621,"MMR_NDK63","Myanmar","pools"
"3","Ascaris suum - USA",134,0.101766631,"MMR_NKD92","Myanmar","pools"
"4","Ascaris suum - USA",105,0.053680816,"MMR_TKU102","Myanmar","pools"
"5","Ascaris suum - USA",37,0.040890445,"MMR_TKU23","Myanmar","pools"
"6","Ascaris suum - USA",102,0.060265781,"MMR_TKU25","Myanmar","pools"
"7","Ascaris suum - USA",166,0.009542604,"MMR002","Myanmar","pools"
"8","Ascaris suum - USA",62,0.041528996,"MMR007","Myanmar","pools"
"9","Ascaris suum - USA",47,0.051081232,"MMR013","Myanmar","pools"
"10","Ascaris suum - USA",35,0.005632248,"MMR016","Myanmar","pools"
"11","Ascaris suum - USA",146,0.120387097,"MOZ030","Mozambique","pools"
"12","Ascaris suum - USA",108,0.101481517,"ZAF002","South Africa","pools"
"13","Ascaris suum - USA",133,0.114878459,"ZAF003","South Africa","pools"
"14","Ascaris suum - USA",44,0.007151086,"ZAF004","South Africa","pools"
"15","Ascaris suum - USA",211,0.018011639,"ZAF005","South Africa","pools"
"16","Ascaris suum - USA",110,0.101464604,"ZAF006","South Africa","pools"
"17","Trichuris trichiura",NA,0.00614863,"CMR_X","Cameroon","pools"
"18","Trichuris trichiura",NA,0.116413123,"MOZ_X","Mozambique","pools"
"19","Trichuris trichiura",NA,0.063635454,"ZAF_X","South Africa","pools"
