"","total_sites","chrom","number_variants","sample.id","sample_type.x","SNP_frequency","country","sample_type.y"
"1",12278,"Trichuris trichiura",198,"CHN_TT001_trimmed","indv",0.0161264049519466,"China","indv"
"2",12278,"Trichuris trichiura",124,"CHN_TT002_trimmed","indv",0.0100993647173807,"China","indv"
"3",12278,"Trichuris trichiura",199,"CHN_TT003_trimmed","indv",0.0162078514416029,"China","indv"
"4",12278,"Trichuris trichiura",160,"CHN_TT004_trimmed","indv",0.0130314383450073,"China","indv"
"5",12278,"Trichuris trichiura",128,"CHN_TT005_trimmed","indv",0.0104251506760059,"China","indv"
"6",12278,"Trichuris trichiura",188,"CHN_TT006_trimmed","indv",0.0153119400553836,"China","indv"
"7",12278,"Trichuris trichiura",198,"CHN_TT007_trimmed","indv",0.0161264049519466,"China","indv"
"8",12278,"Trichuris trichiura",798,"HND_TT001_trimmed","indv",0.0649942987457241,"Honduras","indv"
"9",12278,"Trichuris trichiura",819,"HND_TT002_trimmed","indv",0.0667046750285063,"Honduras","indv"
"10",12278,"Trichuris trichiura",801,"HND_TT003_trimmed","indv",0.065238638214693,"Honduras","indv"
"11",12278,"Trichuris trichiura",817,"HND_TT004_trimmed","indv",0.0665417820491937,"Honduras","indv"
"12",12278,"Trichuris trichiura",822,"HND_TT005_trimmed","indv",0.0669490144974752,"Honduras","indv"
"13",12278,"Trichuris trichiura",832,"HND_TT006_trimmed","indv",0.0677634793940381,"Honduras","indv"
"14",12278,"Trichuris trichiura",798,"HND_TT007_trimmed","indv",0.0649942987457241,"Honduras","indv"
"15",12278,"Trichuris trichiura",801,"HND_TT008_trimmed","indv",0.065238638214693,"Honduras","indv"
"16",12278,"Trichuris trichiura",735,"UGA_TT001_trimmed","indv",0.0598631698973774,"Uganda","indv"
"17",12278,"Trichuris trichiura",773,"UGA_TT002_trimmed","indv",0.0629581365043167,"Uganda","indv"
"18",12278,"Trichuris trichiura",1043,"UGA_TT003_trimmed","indv",0.0849486887115165,"Uganda","indv"
"19",12278,"Trichuris trichiura",701,"UGA_TT004_trimmed","indv",0.0570939892490634,"Uganda","indv"
"20",12278,"Trichuris trichiura",757,"UGA_TT005_trimmed","indv",0.0616549926698159,"Uganda","indv"
"21",12278,"Trichuris trichiura",653,"UGA_TT006_trimmed","indv",0.0531845577455612,"Uganda","indv"
"22",12278,"Trichuris trichiura",661,"UGA_TT007_trimmed","indv",0.0538361296628115,"Uganda","indv"
"23",12278,"Trichuris trichiura",636,"UGA_TT008_trimmed","indv",0.0517999674214041,"Uganda","indv"
"24",12278,"Trichuris trichiura",477,"UGA_TT009_trimmed","indv",0.0388499755660531,"Uganda","indv"
"25",12278,"Trichuris trichiura",837,"UGA_TT010_trimmed","indv",0.0681707118423196,"Uganda","indv"
"26",12278,"Trichuris trichiura",710,"UGA_TT011_trimmed","indv",0.05782700765597,"Uganda","indv"
"27",12278,"Trichuris trichiura",621,"UGA_TT012_trimmed","indv",0.0505782700765597,"Uganda","indv"
"28",12278,"Trichuris trichiura",654,"UGA_TT013_trimmed","indv",0.0532660042352175,"Uganda","indv"
"29",11925,"Ascaris suum - USA",96,"ECU_ALUM001_trimmed","indv",0.0080503144654088,"Ecuador","indv"
"30",11925,"Ascaris suum - USA",96,"ETH001_trimmed","indv",0.0080503144654088,"Ethiopia","indv"
"31",11925,"Ascaris suum - USA",99,"ETH002_trimmed","indv",0.00830188679245283,"Ethiopia","indv"
"32",11925,"Ascaris suum - USA",94,"KEN_ALUM001_trimmed","indv",0.00788259958071279,"Kenya","indv"
"33",11925,"Ascaris suum - USA",104,"KEN_ALUM002_trimmed","indv",0.00872117400419287,"Kenya","indv"
"34",11925,"Ascaris suum - USA",96,"KEN_ALUM003_trimmed","indv",0.0080503144654088,"Kenya","indv"
"35",11925,"Ascaris suum - USA",92,"KEN_ALUM004_trimmed","indv",0.00771488469601677,"Kenya","indv"
"36",11925,"Ascaris suum - USA",98,"KEN_ALUM005_trimmed","indv",0.00821802935010482,"Kenya","indv"
"37",11925,"Ascaris suum - USA",95,"KEN_ALUM006_trimmed","indv",0.0079664570230608,"Kenya","indv"
"38",11925,"Ascaris suum - USA",95,"KEN_ALUM007_trimmed","indv",0.0079664570230608,"Kenya","indv"
"39",11925,"Ascaris suum - USA",100,"KEN_ALUM008_trimmed","indv",0.00838574423480084,"Kenya","indv"
"40",11925,"Ascaris suum - USA",95,"KEN_ALUM009_trimmed","indv",0.0079664570230608,"Kenya","indv"
"41",11925,"Ascaris suum - USA",102,"KEN_ALUM010_trimmed","indv",0.00855345911949685,"Kenya","indv"
"42",11925,"Ascaris suum - USA",96,"KEN_ALUM011_trimmed","indv",0.0080503144654088,"Kenya","indv"
"43",11925,"Ascaris suum - USA",95,"KEN_ALUM013_trimmed","indv",0.0079664570230608,"Kenya","indv"
"44",11925,"Ascaris suum - USA",95,"KEN_ALUM014_trimmed","indv",0.0079664570230608,"Kenya","indv"
"45",11925,"Ascaris suum - USA",96,"KEN_ALUM015_trimmed","indv",0.0080503144654088,"Kenya","indv"
"46",11925,"Ascaris suum - USA",96,"KEN_ALUM016_trimmed","indv",0.0080503144654088,"Kenya","indv"
"47",11925,"Ascaris suum - USA",94,"KEN_ALUM017_trimmed","indv",0.00788259958071279,"Kenya","indv"
"48",11925,"Ascaris suum - USA",94,"KEN_ALUM018_trimmed","indv",0.00788259958071279,"Kenya","indv"
"49",11925,"Ascaris suum - USA",94,"KEN_ALUM019_trimmed","indv",0.00788259958071279,"Kenya","indv"
"50",11925,"Ascaris suum - USA",92,"KEN_ALUM020_trimmed","indv",0.00771488469601677,"Kenya","indv"
"51",11925,"Ascaris suum - USA",94,"KEN_ALUM021_trimmed","indv",0.00788259958071279,"Kenya","indv"
"52",11925,"Ascaris suum - USA",96,"KEN_ALUM022_trimmed","indv",0.0080503144654088,"Kenya","indv"
"53",11925,"Ascaris suum - USA",96,"KEN_ALUM023_trimmed","indv",0.0080503144654088,"Kenya","indv"
"54",11925,"Ascaris suum - USA",95,"KEN_ALUM024_trimmed","indv",0.0079664570230608,"Kenya","indv"
"55",11925,"Ascaris suum - USA",94,"KEN_ALUM025_trimmed","indv",0.00788259958071279,"Kenya","indv"
"56",11925,"Ascaris suum - USA",94,"KEN_ALUM026_trimmed","indv",0.00788259958071279,"Kenya","indv"
"57",11925,"Ascaris suum - USA",96,"KEN_ALUM027_trimmed","indv",0.0080503144654088,"Kenya","indv"
"58",11925,"Ascaris suum - USA",96,"KEN_ALUM028_trimmed","indv",0.0080503144654088,"Kenya","indv"
"59",11925,"Ascaris suum - USA",95,"KEN_ALUM029_trimmed","indv",0.0079664570230608,"Kenya","indv"
"60",11925,"Ascaris suum - USA",96,"KEN_ALUM030_trimmed","indv",0.0080503144654088,"Kenya","indv"
"61",11925,"Ascaris suum - USA",100,"KEN_ALUM031_trimmed","indv",0.00838574423480084,"Kenya","indv"
"62",11925,"Ascaris suum - USA",98,"KEN_ALUM032_trimmed","indv",0.00821802935010482,"Kenya","indv"
"63",11925,"Ascaris suum - USA",103,"KEN_ALUM033_trimmed","indv",0.00863731656184486,"Kenya","indv"
"64",11925,"Ascaris suum - USA",95,"KEN_ALUM034_trimmed","indv",0.0079664570230608,"Kenya","indv"
"65",11925,"Ascaris suum - USA",100,"KEN_ALUM035_trimmed","indv",0.00838574423480084,"Kenya","indv"
"66",11925,"Ascaris suum - USA",94,"KEN_ALUM036_trimmed","indv",0.00788259958071279,"Kenya","indv"
"67",11925,"Ascaris suum - USA",100,"KEN_ALUM037_trimmed","indv",0.00838574423480084,"Kenya","indv"
"68",11925,"Ascaris suum - USA",103,"KEN_ALUM038_trimmed","indv",0.00863731656184486,"Kenya","indv"
"69",11925,"Ascaris suum - USA",97,"KEN_ALUM039_trimmed","indv",0.00813417190775681,"Kenya","indv"
"70",11925,"Ascaris suum - USA",100,"KEN_ALUM040_trimmed","indv",0.00838574423480084,"Kenya","indv"
"71",11925,"Ascaris suum - USA",98,"KEN_ALUM041_trimmed","indv",0.00821802935010482,"Kenya","indv"
"72",11925,"Ascaris suum - USA",95,"KEN_ALUM042_trimmed","indv",0.0079664570230608,"Kenya","indv"
"73",11925,"Ascaris suum - USA",103,"KEN_ALUM043_trimmed","indv",0.00863731656184486,"Kenya","indv"
"74",11925,"Ascaris suum - USA",96,"KEN_ALUM045_trimmed","indv",0.0080503144654088,"Kenya","indv"
"75",11925,"Ascaris suum - USA",100,"KEN_ALUM046_trimmed","indv",0.00838574423480084,"Kenya","indv"
"76",11925,"Ascaris suum - USA",100,"KEN_ALUM047_trimmed","indv",0.00838574423480084,"Kenya","indv"
"77",11925,"Ascaris suum - USA",98,"KEN_ALUM048_trimmed","indv",0.00821802935010482,"Kenya","indv"
"78",11925,"Ascaris suum - USA",99,"KEN_ALUM049_trimmed","indv",0.00830188679245283,"Kenya","indv"
"79",11925,"Ascaris suum - USA",95,"KEN_ALUM050_trimmed","indv",0.0079664570230608,"Kenya","indv"
"80",11925,"Ascaris suum - USA",94,"KEN_ALUM051_trimmed","indv",0.00788259958071279,"Kenya","indv"
"81",11925,"Ascaris suum - USA",97,"KEN_ALUM052_trimmed","indv",0.00813417190775681,"Kenya","indv"
"82",11925,"Ascaris suum - USA",96,"KEN_ALUM053_trimmed","indv",0.0080503144654088,"Kenya","indv"
"83",11925,"Ascaris suum - USA",94,"KEN_ALUM055_trimmed","indv",0.00788259958071279,"Kenya","indv"
"84",11925,"Ascaris suum - USA",98,"KEN_ALUM057_trimmed","indv",0.00821802935010482,"Kenya","indv"
"85",11925,"Ascaris suum - USA",99,"KEN_ALUM058_trimmed","indv",0.00830188679245283,"Kenya","indv"
"86",11925,"Ascaris suum - USA",95,"KEN_ALUM059_trimmed","indv",0.0079664570230608,"Kenya","indv"
"87",11925,"Ascaris suum - USA",95,"KEN_ALUM060_trimmed","indv",0.0079664570230608,"Kenya","indv"
"88",11925,"Ascaris suum - USA",97,"KEN_ALUM061_trimmed","indv",0.00813417190775681,"Kenya","indv"
"89",11925,"Ascaris suum - USA",96,"KEN_ALUM062_trimmed","indv",0.0080503144654088,"Kenya","indv"
"90",11925,"Ascaris suum - USA",95,"KEN_ALUM064_trimmed","indv",0.0079664570230608,"Kenya","indv"
"91",11925,"Ascaris suum - USA",94,"KEN_ALUM065_trimmed","indv",0.00788259958071279,"Kenya","indv"
"92",11925,"Ascaris suum - USA",96,"KEN_ALUM067_trimmed","indv",0.0080503144654088,"Kenya","indv"
"93",11925,"Ascaris suum - USA",94,"KEN_ALUM068_trimmed","indv",0.00788259958071279,"Kenya","indv"
