"","total_sites","chrom","number_variants","sample.id","sample_type.x","SNP_frequency","country","sample_type.y"
"1",11925,"Ascaris suum - USA",63,"MMR002_trimmed","pools",0.00528301886792453,"Myanmar","pools"
"2",11925,"Ascaris suum - USA",85,"MMR007_trimmed","pools",0.00712788259958071,"Myanmar","pools"
"3",11925,"Ascaris suum - USA",65,"MMR013_trimmed","pools",0.00545073375262055,"Myanmar","pools"
"4",11925,"Ascaris suum - USA",98,"MMR016_trimmed","pools",0.00821802935010482,"Myanmar","pools"
"5",11925,"Ascaris suum - USA",49,"MMR_NDK113_trimmed","pools",0.00410901467505241,"Myanmar","pools"
"6",11925,"Ascaris suum - USA",71,"MMR_NDK63_trimmed","pools",0.0059538784067086,"Myanmar","pools"
"7",11925,"Ascaris suum - USA",69,"MMR_NKD92_trimmed","pools",0.00578616352201258,"Myanmar","pools"
"8",11925,"Ascaris suum - USA",82,"MMR_TKU102_trimmed","pools",0.00687631027253669,"Myanmar","pools"
"9",11925,"Ascaris suum - USA",79,"MMR_TKU23_trimmed","pools",0.00662473794549266,"Myanmar","pools"
"10",11925,"Ascaris suum - USA",86,"MMR_TKU25_trimmed","pools",0.00721174004192872,"Myanmar","pools"
"11",11925,"Ascaris suum - USA",86,"MOZ030_trimmed","pools",0.00721174004192872,"Mozambique","pools"
"12",11925,"Ascaris suum - USA",87,"ZAF002_trimmed","pools",0.00729559748427673,"South Africa","pools"
"13",11925,"Ascaris suum - USA",85,"ZAF003_trimmed","pools",0.00712788259958071,"South Africa","pools"
"14",11925,"Ascaris suum - USA",35,"ZAF004_trimmed","pools",0.00293501048218029,"South Africa","pools"
"15",11925,"Ascaris suum - USA",98,"ZAF005_trimmed","pools",0.00821802935010482,"South Africa","pools"
"16",11925,"Ascaris suum - USA",83,"ZAF006_trimmed","pools",0.0069601677148847,"South Africa","pools"
"17",12278,"Trichuris trichiura",753,"CMR001_trimmed","pools",0.0613292067111907,"Cameroon","pools"
"18",12278,"Trichuris trichiura",336,"MOZ028_trimmed","pools",0.0273660205245154,"Mozambique","pools"
"19",12278,"Trichuris trichiura",386,"ZAF006_trimmed","pools",0.0314383450073302,"South Africa","pools"
