"","species","country","Freq","latitude","longitude","data_type"
"1","Ascaris lumbricoides","Argentina",1,-38.416097,-63.616672,"faecal"
"2","Ascaris lumbricoides","Bangladesh",5,23.685,90.3563,"faecal"
"3","Necator americanus","Bangladesh",2,23.685,90.3563,"faecal"
"4","Ascaris lumbricoides","Benin",22,9.30769,2.315834,"faecal"
"5","Ascaris lumbricoides","DRC",1,-4.0383,21.7587,"faecal"
"6","Ascaris lumbricoides","Ethiopia",1,9.145,40.4897,"faecal"
"7","Schistosoma mansoni","Ethiopia",1,9.145,40.4897,"faecal"
"8","Necator americanus","India",3,20.593684,78.96288,"faecal"
"9","Ascaris lumbricoides","Kenya",4,-0.023559,37.906193,"faecal"
"10","Schistosoma mansoni","Kenya",1,-0.023559,37.906193,"faecal"
"11","Necator americanus","Malawi",2,-13.254308,34.301525,"faecal"
"12","Ancylostoma ceylanicum","Malaysia",1,3.140853,101.524803,"faecal"
"13","Ascaris lumbricoides","Malaysia",48,3.140853,101.524803,"faecal"
"14","Necator americanus","Malaysia",33,3.140853,101.524803,"faecal"
"15","Strongyloides stercoralis","Malaysia",1,3.140853,101.524803,"faecal"
"16","Trichuris trichiura","Malaysia",10,3.140853,101.524803,"faecal"
"17","Ancylostoma ceylanicum","Myanmar",2,21.916222,95.955971,"faecal"
"18","Ascaris lumbricoides","Myanmar",27,21.916222,95.955971,"faecal"
"19","Enterobius vermicularis","Myanmar",2,21.916222,95.955971,"faecal"
"20","Necator americanus","Myanmar",4,21.916222,95.955971,"faecal"
"21","Trichuris trichiura","Myanmar",7,21.916222,95.955971,"faecal"
"22","Ascaris lumbricoides","Nigeria",4,9.082,8.6753,"faecal"
"23","Necator americanus","Nigeria",2,9.082,8.6753,"faecal"
"24","Schistosoma mansoni","Nigeria",1,9.082,8.6753,"faecal"
"25","Ascaris lumbricoides","South_Africa",6,-30.559482,22.937506,"faecal"
"26","Necator americanus","South_Africa",1,-30.559482,22.937506,"faecal"
"27","Trichuris trichiura","South_Africa",4,-30.559482,22.937506,"faecal"
"28","Ascaris lumbricoides","Sri_Lanka",4,7.8731,80.7718,"faecal"
"29","Necator americanus","Uganda",1,1.373333,32.290276,"faecal"
"30","Schistosoma mansoni","Uganda",6,1.373333,32.290276,"faecal"
"31","Necator americanus","Cameroon",2,7.3697,12.3547,"worm_egg"
"32","Schistosoma mansoni","Cameroon",1,7.3697,12.3547,"worm_egg"
"33","Trichuris trichiura","Cameroon",5,7.3697,12.3547,"worm_egg"
"34","Ascaris lumbricoides","China",7,35.8617,104.1954,"worm_egg"
"35","Necator americanus","China",1,35.8617,104.1954,"worm_egg"
"36","Trichuris trichiura","China",7,35.8617,104.1954,"worm_egg"
"37","Ascaris lumbricoides","Ecuador",1,1.8312,-78.1834,"worm_egg"
"38","Necator americanus","Ecuador",1,1.8312,-78.1834,"worm_egg"
"39","Ascaris lumbricoides","Ethiopia",2,9.145,40.4897,"worm_egg"
"40","Schistosoma mansoni","Fiji",1,17.7134,178.065,"worm_egg"
"41","Schistosoma mansoni","Guadeloupe",4,16.265,-61.551,"worm_egg"
"42","Trichuris trichiura","Honduras",8,15.2,-86.2419,"worm_egg"
"43","Ascaris lumbricoides","Kenya",68,-0.023559,37.906193,"worm_egg"
"44","Schistosoma mansoni","Kenya",1,-0.023559,37.906193,"worm_egg"
"45","Ancylostoma duodenale","Mozambique",1,-18.665695,35.529562,"worm_egg"
"46","Ascaris lumbricoides","Mozambique",6,-18.665695,35.529562,"worm_egg"
"47","Enterobius vermicularis","Mozambique",1,-18.665695,35.529562,"worm_egg"
"48","Necator americanus","Mozambique",8,-18.665695,35.529562,"worm_egg"
"49","Schistosoma mansoni","Mozambique",1,-18.665695,35.529562,"worm_egg"
"50","Trichuris trichiura","Mozambique",10,-18.665695,35.529562,"worm_egg"
"51","Schistosoma mansoni","Puerto_Rico",1,18.200178,-66.5901,"worm_egg"
"52","Schistosoma mansoni","Senegal",1,14.717,-17.46,"worm_egg"
"53","Ascaris lumbricoides","Tanzania",2,-6.369,34.8888,"worm_egg"
"54","Necator americanus","Tanzania",2,-6.369,34.8888,"worm_egg"
"55","Trichuris trichiura","Tanzania",5,-6.369,34.8888,"worm_egg"
"56","Strongyloides stercoralis","Thailand",15,15.87,100.9925,"worm_egg"
"57","Ascaris lumbricoides","Uganda",5,1.373333,32.290276,"worm_egg"
"58","Schistosoma mansoni","Uganda",2,1.373333,32.290276,"worm_egg"
"59","Trichuris trichiura","Uganda",13,1.373333,32.290276,"worm_egg"
"60","Strongyloides stercoralis","USA",1,37.0902,-95.7129,"worm_egg"
