"","X","sample.id","PC1","PC2","country","chrom","normalised","N_DATA","N_GENOTYPES_FILTERED","N_MISS","F_MISS"
"1",1,"ECU_ALUM001_trimmed",-0.495649610628743,0.0231129041395027,"Ecuador","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",4647101.53429391,558,0,0,0
"2",2,"ETH001_trimmed",-0.479265492451504,-0.0265455028665394,"Ethiopia","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",3399762.54941615,558,0,0,0
"3",3,"ETH002_trimmed",-0.471546254749651,-0.0315874103543375,"Ethiopia","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",461255.476104127,558,0,0,0
"4",4,"KEN_ALUM001_trimmed",-0.493016989771313,0.0153156270511798,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",7628781.98424353,558,0,0,0
"5",5,"KEN_ALUM002_trimmed",-0.465795257018749,-0.0228679908533638,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",4898493.95447575,558,0,0,0
"6",6,"KEN_ALUM003_trimmed",-0.495711967354192,0.0214173813321115,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",4685668.73883256,558,0,0,0
"7",7,"KEN_ALUM004_trimmed",-0.478514998133742,-0.0366278615876859,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",877859.055709676,558,0,0,0
"8",8,"KEN_ALUM005_trimmed",-0.495428855254583,0.0405504477477088,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",1626931.0773929,558,0,0,0
"9",9,"KEN_ALUM006_trimmed",-0.491999624594439,0.0162820693891428,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",3055399.65319739,558,0,0,0
"10",10,"KEN_ALUM007_trimmed",-0.493209474910184,0.015834548820012,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",1576007.17174231,558,0,0,0
"11",11,"KEN_ALUM008_trimmed",-0.494604033817548,0.0447988221891816,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",5009794.99648915,558,0,0,0
"12",12,"KEN_ALUM009_trimmed",-0.493889325316975,0.0177370027360139,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",4559642.76163797,558,0,0,0
