"","species","start","end","sample_id","raw_read_counts","raw_reads_n","normalised","country","total_read_counts","percentage"
"1","Ascaris_lumb_KOR",0,14281,"ECU_ALUM001_trimmed",2,6572008,21.3095016395343,"Ecuador",32693.1787358463,0.000651802683725263
"2","Ascaris_lumb_KOR",0,14281,"ETH001_trimmed",8,53888110,10.3953332377798,"Ethiopia",50676.3048484705,0.000205132029039278
"3","Ascaris_lumb_KOR",0,14281,"ETH002_trimmed",16,85707418,13.0720274645103,"Ethiopia",50676.3048484705,0.000257951472657636
"4","Ascaris_lumb_KOR",0,14281,"KEN_ALUM001_trimmed",1090,96072026,794.457975850461,"Kenya",2946688.96490233,0.000269610395027489
"5","Ascaris_lumb_KOR",0,14281,"KEN_ALUM002_trimmed",37,98382266,26.3345731652909,"Kenya",2946688.96490233,8.93700471239377e-06
"6","Ascaris_lumb_KOR",0,14281,"KEN_ALUM003_trimmed",193,138159874,97.8175455756761,"Kenya",2946688.96490233,3.31957484284122e-05
"7","Ascaris_lumb_KOR",0,14281,"KEN_ALUM004_trimmed",37,102711676,25.2245419707114,"Kenya",2946688.96490233,8.56030014404573e-06
"8","Ascaris_lumb_KOR",0,14281,"KEN_ALUM005_trimmed",99,95162594,72.8467706011264,"Kenya",2946688.96490233,2.47215676539994e-05
"9","Ascaris_lumb_KOR",0,14281,"KEN_ALUM006_trimmed",208,107429540,135.575432847496,"Kenya",2946688.96490233,4.60094141126938e-05
"10","Ascaris_lumb_KOR",0,14281,"KEN_ALUM007_trimmed",96,124087802,54.1730792527825,"Kenya",2946688.96490233,1.83843900384573e-05
"11","Ascaris_lumb_KOR",0,14281,"KEN_ALUM008_trimmed",185,100426638,128.992418433051,"Kenya",2946688.96490233,4.37753763527351e-05
"12","Ascaris_lumb_KOR",0,14281,"KEN_ALUM009_trimmed",92,117225286,54.955087945339,"Kenya",2946688.96490233,1.86497755955592e-05
"13","Ascaris_lumb_KOR",0,14281,"KEN_ALUM010_trimmed",214,94202116,159.072276379232,"Kenya",2946688.96490233,5.39833956939208e-05
"14","Ascaris_lumb_KOR",0,14281,"KEN_ALUM011_trimmed",110,160383610,48.025741775028,"Kenya",2946688.96490233,1.62982053236894e-05
"15","Ascaris_lumb_KOR",0,14281,"KEN_ALUM012_trimmed",106216,149624644,49708.2178491389,"Kenya",2946688.96490233,0.0168691770462399
"16","Ascaris_lumb_KOR",0,14281,"KEN_ALUM013_trimmed",110,148686948,51.8037523966583,"Kenya",2946688.96490233,1.75803259229891e-05
"17","Ascaris_lumb_KOR",0,14281,"KEN_ALUM014_trimmed",175,333901836,36.6995401440841,"Kenya",2946688.96490233,1.24545008248947e-05
"18","Ascaris_lumb_KOR",0,14281,"KEN_ALUM015_trimmed",91,88500648,72.0006343221577,"Kenya",2946688.96490233,2.44344195060113e-05
"19","Ascaris_lumb_KOR",0,14281,"KEN_ALUM016_trimmed",171,165388606,72.3988894613654,"Kenya",2946688.96490233,2.45695729422752e-05
"20","Ascaris_lumb_KOR",0,14281,"KEN_ALUM017_trimmed",2336,161343062,1013.82716669407,"Kenya",2946688.96490233,0.000344056389652811
"21","Ascaris_lumb_KOR",0,14281,"KEN_ALUM018_trimmed",206,93982644,153.483234317779,"Kenya",2946688.96490233,5.20866763156545e-05
"22","Ascaris_lumb_KOR",0,14281,"KEN_ALUM019_trimmed",154,134342412,80.2692047417574,"Kenya",2946688.96490233,2.72404742060783e-05
"23","Ascaris_lumb_KOR",0,14281,"KEN_ALUM020_trimmed",238,97153930,171.537060980167,"Kenya",2946688.96490233,5.82134942042833e-05
"24","Ascaris_lumb_KOR",0,14281,"KEN_ALUM021_trimmed",382,268089858,99.7756025255803,"Kenya",2946688.96490233,3.38602423649038e-05
"25","Ascaris_lumb_KOR",0,14281,"KEN_ALUM022_trimmed",53,92653094,40.0550542235791,"Kenya",2946688.96490233,1.35932413297332e-05
"26","Ascaris_lumb_KOR",0,14281,"KEN_ALUM023_trimmed",141,218214108,45.245737160119,"Kenya",2946688.96490233,1.53547719827358e-05
"27","Ascaris_lumb_KOR",0,14281,"KEN_ALUM024_trimmed",91,91632412,69.5398348121841,"Kenya",2946688.96490233,2.35993128696191e-05
"28","Ascaris_lumb_KOR",0,14281,"KEN_ALUM025_trimmed",181,85278918,148.620348117204,"Kenya",2946688.96490233,5.04363880570374e-05
"29","Ascaris_lumb_KOR",0,14281,"KEN_ALUM026_trimmed",91,128494112,49.590620883251,"Kenya",2946688.96490233,1.68292688756496e-05
"30","Ascaris_lumb_KOR",0,14281,"KEN_ALUM027_trimmed",59,111734828,36.9747143648484,"Kenya",2946688.96490233,1.25478850347797e-05
"31","Ascaris_lumb_KOR",0,14281,"KEN_ALUM028_trimmed",156,309329480,35.3138174530942,"Kenya",2946688.96490233,1.19842365019563e-05
"32","Ascaris_lumb_KOR",0,14281,"KEN_ALUM029_trimmed",57,178970560,22.3015290037336,"Kenya",2946688.96490233,7.56833492416895e-06
"33","Ascaris_lumb_KOR",0,14281,"KEN_ALUM030_trimmed",551,174448136,221.170218188285,"Kenya",2946688.96490233,7.50571983750634e-05
"34","Ascaris_lumb_KOR",0,14281,"KEN_ALUM031_trimmed",25,74258220,23.5741940843439,"Kenya",2946688.96490233,8.00023157012274e-06
"35","Ascaris_lumb_KOR",0,14281,"KEN_ALUM032_trimmed",87,94992872,64.1312367460574,"Kenya",2946688.96490233,2.17638296779596e-05
"36","Ascaris_lumb_KOR",0,14281,"KEN_ALUM033_trimmed",57,84827536,47.052140411746,"Kenya",2946688.96490233,1.5967800121485e-05
"37","Ascaris_lumb_KOR",0,14281,"KEN_ALUM034_trimmed",431,98584654,306.132426925164,"Kenya",2946688.96490233,0.000103890308943859
"38","Ascaris_lumb_KOR",0,14281,"KEN_ALUM035_trimmed",240,85712172,196.069536426214,"Kenya",2946688.96490233,6.65389319203946e-05
"39","Ascaris_lumb_KOR",0,14281,"KEN_ALUM036_trimmed",121,77384396,109.489722226268,"Kenya",2946688.96490233,3.71568643757067e-05
"40","Ascaris_lumb_KOR",0,14281,"KEN_ALUM037_trimmed",590,97340932,424.422004702551,"Kenya",2946688.96490233,0.000144033527039261
"41","Ascaris_lumb_KOR",0,14281,"KEN_ALUM038_trimmed",35,100083378,24.4876703391554,"Kenya",2946688.96490233,8.31023247815605e-06
"42","Ascaris_lumb_KOR",0,14281,"KEN_ALUM039_trimmed",41,98325008,29.198547460542,"Kenya",2946688.96490233,9.90893433556188e-06
"43","Ascaris_lumb_KOR",0,14281,"KEN_ALUM040_trimmed",81,114332142,49.60872435738,"Kenya",2946688.96490233,1.68354125420985e-05
"44","Ascaris_lumb_KOR",0,14281,"KEN_ALUM041_trimmed",594,323691682,128.497975828606,"Kenya",2946688.96490233,4.36075803585415e-05
"45","Ascaris_lumb_KOR",0,14281,"KEN_ALUM042_trimmed",541,251381274,150.697387369452,"Kenya",2946688.96490233,5.11412602973681e-05
"46","Ascaris_lumb_KOR",0,14281,"KEN_ALUM043_trimmed",345,143935126,167.839309292738,"Kenya",2946688.96490233,5.69586105937383e-05
"47","Ascaris_lumb_KOR",0,14281,"KEN_ALUM044_trimmed",101193,126166164,56162.8261119906,"Kenya",2946688.96490233,0.0190596383876749
"48","Ascaris_lumb_KOR",0,14281,"KEN_ALUM045_trimmed",54,175446048,21.552197127734,"Kenya",2946688.96490233,7.31403870053465e-06
"49","Ascaris_lumb_KOR",0,14281,"KEN_ALUM046_trimmed",27,92548370,20.4284949144857,"Kenya",2946688.96490233,6.93269468132102e-06
"50","Ascaris_lumb_KOR",0,14281,"KEN_ALUM047_trimmed",70,101619008,48.235242896547,"Kenya",2946688.96490233,1.63693024513518e-05
"51","Ascaris_lumb_KOR",0,14281,"KEN_ALUM048_trimmed",368,92929510,277.290858481768,"Kenya",2946688.96490233,9.41025204168296e-05
"52","Ascaris_lumb_KOR",0,14281,"KEN_ALUM049_trimmed",120,118825398,70.7152936703142,"Kenya",2946688.96490233,2.39982212281635e-05
"53","Ascaris_lumb_KOR",0,14281,"KEN_ALUM050_trimmed",101,111419924,63.474588891096,"Kenya",2946688.96490233,2.15409870696006e-05
"54","Ascaris_lumb_KOR",0,14281,"KEN_ALUM051_trimmed",464,107281166,302.855786804551,"Kenya",2946688.96490233,0.000102778335417084
"55","Ascaris_lumb_KOR",0,14281,"KEN_ALUM052_trimmed",300,87706278,239.514579419901,"Kenya",2946688.96490233,8.12826132220711e-05
"56","Ascaris_lumb_KOR",0,14281,"KEN_ALUM053_trimmed",152,255900564,41.5923755411438,"Kenya",2946688.96490233,1.41149527610636e-05
"57","Ascaris_lumb_KOR",0,14281,"KEN_ALUM054_trimmed",499275,83200216,420200.676639225,"Kenya",2946688.96490233,0.142600960482829
"58","Ascaris_lumb_KOR",0,14281,"KEN_ALUM055_trimmed",158,225170420,49.1345666310504,"Kenya",2946688.96490233,1.66745005042224e-05
"59","Ascaris_lumb_KOR",0,14281,"KEN_ALUM056_trimmed",108629,102386268,74292.5814841911,"Kenya",2946688.96490233,0.0252122237430151
"60","Ascaris_lumb_KOR",0,14281,"KEN_ALUM057_trimmed",48,81778276,41.1002692943146,"Kenya",2946688.96490233,1.3947949642414e-05
"61","Ascaris_lumb_KOR",0,14281,"KEN_ALUM058_trimmed",53,86396810,42.9555756069277,"Kenya",2946688.96490233,1.45775737169978e-05
"62","Ascaris_lumb_KOR",0,14281,"KEN_ALUM059_trimmed",314,108176496,203.253540347731,"Kenya",2946688.96490233,6.89769238520455e-05
"63","Ascaris_lumb_KOR",0,14281,"KEN_ALUM060_trimmed",58,98446872,41.2541318964401,"Kenya",2946688.96490233,1.40001650624865e-05
"64","Ascaris_lumb_KOR",0,14281,"KEN_ALUM061_trimmed",139,131098784,74.2433427906302,"Kenya",2946688.96490233,2.51955139055849e-05
"65","Ascaris_lumb_KOR",0,14281,"KEN_ALUM062_trimmed",61,83751566,51.0009516139257,"Kenya",2946688.96490233,1.73078842800825e-05
"66","Ascaris_lumb_KOR",0,14281,"KEN_ALUM063_trimmed",770869,99006736,545201.721953284,"Kenya",2946688.96490233,0.185021808696852
"67","Ascaris_lumb_KOR",0,14281,"KEN_ALUM064_trimmed",635,95241536,466.86220329545,"Kenya",2946688.96490233,0.000158436200378184
"68","Ascaris_lumb_KOR",0,14281,"KEN_ALUM065_trimmed",450,95555338,329.760734366116,"Kenya",2946688.96490233,0.000111908904636308
"69","Ascaris_lumb_KOR",0,14281,"KEN_ALUM066_trimmed",56605,110704150,35804.059803922,"Kenya",2946688.96490233,0.0121506070815006
"70","Ascaris_lumb_KOR",0,14281,"KEN_ALUM067_trimmed",60,145606348,28.8544181983809,"Kenya",2946688.96490233,9.79214927060933e-06
"71","Ascaris_lumb_KOR",0,14281,"KEN_ALUM068_trimmed",136,135370254,70.3488569731888,"Kenya",2946688.96490233,2.38738658240167e-05
"72","Ascaris_lumb_KOR",0,14281,"MMR002_trimmed",0,70562020,0,"Myanmar",2707.74365314565,0
"73","Ascaris_lumb_KOR",0,14281,"MMR007_trimmed",0,79659210,0,"Myanmar",2707.74365314565,0
"74","Ascaris_lumb_KOR",0,14281,"MMR013_trimmed",0,88690668,0,"Myanmar",2707.74365314565,0
"75","Ascaris_lumb_KOR",0,14281,"MMR016_trimmed",1,75671922,0.925351250170657,"Myanmar",2707.74365314565,0.000341742560857138
"76","Ascaris_lumb_KOR",0,14281,"MMR_NDK113_trimmed",0,36645824,0,"Myanmar",2707.74365314565,0
"77","Ascaris_lumb_KOR",0,14281,"MMR_NDK63_trimmed",3,44801624,4.68887741383101,"Myanmar",2707.74365314565,0.00173165484420352
"78","Ascaris_lumb_KOR",0,14281,"MMR_NKD92_trimmed",149,41118442,253.741205374512,"Myanmar",2707.74365314565,0.0937094636265639
"79","Ascaris_lumb_KOR",0,14281,"MMR_TKU102_trimmed",1,35545456,1.96995946895481,"Myanmar",2707.74365314565,0.000727528053354037
