"","sample.id","PC1","PC2","country","total_reads","NC_016198_Ascaris_lumbricoides_mitochondrion_genome_Korea","NC_001327_Ascaris_suum_mitochondrion_genome_USA","KY045802_Ascaris_lumbricoides_isolate_G17_mitochondrion_genome_Tanzania","Ascaris_lum_KOR_percentage","Ascaris_lum_TZA_percentage","Ascaris_suum_US_percentage"
"1","ECU_ALUM001_trimmed",-0.495649610628743,0.0231129041395027,"Ecuador",3069,2,2862,205,0.065167807103291,6.67970022808732,93.2551319648094
"2","ETH001_trimmed",-0.479265492451504,-0.0265455028665394,"Ethiopia",35228,8,34969,251,0.0227092085840808,0.712501419325536,99.2647893720904
"3","ETH002_trimmed",-0.471546254749651,-0.0315874103543375,"Ethiopia",6011,16,5965,30,0.266178672433871,0.499085010813509,99.2347363167526
"4","KEN_ALUM001_trimmed",-0.493016989771313,0.0153156270511798,"Kenya",206818,1090,142159,63569,0.52703343035906,30.7366863619221,68.7362802077189
"5","KEN_ALUM002_trimmed",-0.465795257018749,-0.0228679908533638,"Kenya",75231,37,54189,21005,0.0491818532253991,27.9206709999867,72.0301471467879
"6","KEN_ALUM003_trimmed",-0.495711967354192,0.0214173813321115,"Kenya",134082,193,107672,26217,0.143941766978416,19.5529601288764,80.3030981041452
"7","KEN_ALUM004_trimmed",-0.478514998133742,-0.0366278615876859,"Kenya",10014,37,7417,2560,0.369482724186139,25.5642101058518,74.0663071699621
"8","KEN_ALUM005_trimmed",-0.495428855254583,0.0405504477477088,"Kenya",14654,99,11689,2866,0.675583458441381,19.5577999181111,79.7666166234475
"9","KEN_ALUM006_trimmed",-0.491999624594439,0.0162820693891428,"Kenya",41798,208,31272,10318,0.497631465620365,24.6853916455333,74.8169768888464
"10","KEN_ALUM007_trimmed",-0.493209474910184,0.015834548820012,"Kenya",21076,96,16084,4896,0.455494401214652,23.2302144619472,76.3142911368381
"11","KEN_ALUM008_trimmed",-0.494604033817548,0.0447988221891816,"Kenya",99208,185,78847,20176,0.186476897024434,20.337069591162,79.4764535118136
"12","KEN_ALUM009_trimmed",-0.493889325316975,0.0177370027360139,"Kenya",82170,92,64506,17572,0.111963003529269,21.3849336740903,78.5031033223804
"13","KEN_ALUM010_trimmed",-0.489280107876666,0.0432420562951912,"Kenya",35178,214,25340,9624,0.608334754676218,27.3580078458127,72.0336573995111
"14","KEN_ALUM011_trimmed",-0.500285268694363,0.0380907845404463,"Kenya",18895,110,14944,3841,0.582164593807886,20.3281291346917,79.0897062715004
"15","KEN_ALUM012_trimmed",-0.0108449213209853,-0.0418388903317405,"Kenya",123411,106216,17142,53,86.0668822066104,0.0429459286449344,13.8901718647446
"16","KEN_ALUM013_trimmed",-0.497310636738257,0.0366032639518238,"Kenya",20693,110,15562,5021,0.531580727782342,24.2642439472285,75.2041753249891
"17","KEN_ALUM014_trimmed",-0.497179326744288,0.0208169007851758,"Kenya",27318,175,19853,7290,0.640603265246358,26.6857017351197,72.6736949996339
"18","KEN_ALUM015_trimmed",-0.495425282402516,0.0237249060899459,"Kenya",8853,91,6332,2430,1.02790014684288,27.4483226025076,71.5237772506495
"19","KEN_ALUM016_trimmed",-0.499394275268723,0.0377493978489406,"Kenya",19480,171,13489,5820,0.87782340862423,29.8767967145791,69.2453798767967
"20","KEN_ALUM017_trimmed",-0.50016636160383,0.0243274500231186,"Kenya",181666,2336,131658,47672,1.28587627844506,26.2415641892264,72.4725595323286
"21","KEN_ALUM018_trimmed",-0.499886636174079,0.0241260211086854,"Kenya",18346,206,13636,4504,1.12286056906138,24.5503106944293,74.3268287365093
"22","KEN_ALUM019_trimmed",-0.499303237160704,0.0225520646493417,"Kenya",18547,154,13957,4436,0.830322963282471,23.9176147085782,75.2520623281393
"23","KEN_ALUM020_trimmed",-0.47852852832944,-0.0369496907877389,"Kenya",40537,238,29257,11042,0.587117941633569,27.2393122332684,72.173569825098
"24","KEN_ALUM021_trimmed",-0.499517153689147,0.0332379582268589,"Kenya",22406,382,13722,8302,1.70490047308757,37.0525752030706,61.2425243238418
