"","species","start_pos","mitogenome_size_bp","sample_id","raw_read_counts","raw_reads_n","normalised","N_DATA","N_GENOTYPES_FILTERED","N_MISS","F_MISS","chrom","PC1","PC2","country"
"1","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"ECU_ALUM001_trimmed",443676,6572008,4726264.38155265,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.427496816596722,0.00547918968188095,"Ecuador"
"2","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"ETH001_trimmed",2631469,53888110,3418656.49013185,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.391575680763299,-0.00859042302937372,"Ethiopia"
"3","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"ETH002_trimmed",571598,85707418,466898.466121566,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.379710242805533,-0.0162201914482302,"Ethiopia"
"4","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM001_trimmed",10491780,96072026,7645438.24160618,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.415626886878728,-0.111524645470023,"Kenya"
"5","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM002_trimmed",6967534,98382266,4958067.48657037,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.37683690885012,0.00281707669664814,"Kenya"
"6","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM003_trimmed",9297591,138159874,4711277.30716877,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.426363841267272,0.00773239448228561,"Kenya"
"7","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM004_trimmed",1308928,102711676,892166.88777192,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.385938216414177,-0.00719101574923974,"Kenya"
"8","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM005_trimmed",2246091,95162594,1652384.96366263,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.431464653473047,0.0805561479142942,"Kenya"
"9","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM006_trimmed",4760371,107429540,3102181.78273341,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.417158157033449,-0.144856451338706,"Kenya"
"10","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM007_trimmed",2840843,124087802,1602759.27802407,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.417122406788958,-0.144806820651197,"Kenya"
"11","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM008_trimmed",7245899,100426638,5051187.74220384,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.426941977972478,0.10342242441184,"Kenya"
"12","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM009_trimmed",7710282,117225286,4604676.45301114,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.421387779798548,0.0202901952337785,"Kenya"
"13","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM010_trimmed",4407574,94202116,3275586.80385659,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.422398518009136,0.0846413875519271,"Kenya"
