"","sample_type","country_1","country_2","mean_dxy_per_country_combo"
"1","pools","Myanmar","Mozambique",0.1586921
"2","pools","Myanmar","Myanmar",0.156840637777778
"3","pools","Mozambique","South Africa",0.1424586
"4","pools","Myanmar","South Africa",0.153359946
"5","pools","South Africa","South Africa",0.1508223
"6","pools","Mozambique","Mozambique",0
"7","indv","Ecuador","Ethiopia",0.0027253665
"8","indv","Ethiopia","Ethiopia",0.001090147
"9","indv","Ecuador","Kenya",0.00170555217741935
"10","indv","Ethiopia","Kenya",0.00284709535483871
"11","indv","Kenya","Kenya",0.00182841166790058
"12","indv","Ecuador","Ecuador",0
