"","species","sample_id","mito_or_repeat","worm_eggs","total_copy_numbers"
"1","Ascaris_lumbricoides","ARG001","FINAL_MITOGENOME_COPIES","eggs",1.16779509228079
"2","Ascaris_lumbricoides","BEN001","FINAL_MITOGENOME_COPIES","eggs",1.15052007103514
"3","Ascaris_lumbricoides","BEN002","FINAL_MITOGENOME_COPIES","eggs",1.55541154679533
"4","Ascaris_lumbricoides","BEN003","FINAL_MITOGENOME_COPIES","eggs",1.19938628362688
"5","Ascaris_lumbricoides","BEN005","FINAL_MITOGENOME_COPIES","eggs",3.69156312580602
"6","Ascaris_lumbricoides","BEN005","FINAL_REPEAT_COPIES","eggs",56.1609840770689
"7","Ascaris_lumbricoides","BEN006","FINAL_MITOGENOME_COPIES","eggs",2.8538566242332
"8","Ascaris_lumbricoides","BEN007","FINAL_MITOGENOME_COPIES","eggs",2.6514108863531
"9","Ascaris_lumbricoides","BEN008","FINAL_MITOGENOME_COPIES","eggs",2.0301118976866
"10","Ascaris_lumbricoides","BEN009","FINAL_MITOGENOME_COPIES","eggs",1.30409959632349
"11","Ascaris_lumbricoides","BEN009","FINAL_REPEAT_COPIES","eggs",18.2772433386911
"12","Ascaris_lumbricoides","BEN010","FINAL_MITOGENOME_COPIES","eggs",2.40707982339436
"13","Ascaris_lumbricoides","BEN010","FINAL_REPEAT_COPIES","eggs",19.6064973996868
"14","Ascaris_lumbricoides","BEN011","FINAL_MITOGENOME_COPIES","eggs",1.70201018457057
"15","Ascaris_lumbricoides","BEN012","FINAL_MITOGENOME_COPIES","eggs",1.49258355917737
"16","Ascaris_lumbricoides","BEN013","FINAL_MITOGENOME_COPIES","eggs",1.33900403388902
"17","Ascaris_lumbricoides","BEN014","FINAL_MITOGENOME_COPIES","eggs",2.25350029810601
"18","Ascaris_lumbricoides","BEN014","FINAL_REPEAT_COPIES","eggs",15.6187352166996
"19","Ascaris_lumbricoides","BEN015","FINAL_MITOGENOME_COPIES","eggs",1.89049414742446
"20","Ascaris_lumbricoides","BEN017","FINAL_MITOGENOME_COPIES","eggs",2.47688869852543
"21","Ascaris_lumbricoides","BEN018","FINAL_MITOGENOME_COPIES","eggs",3.0563023621133
"22","Ascaris_lumbricoides","BEN019","FINAL_MITOGENOME_COPIES","eggs",3.74741022591087
"23","Ascaris_lumbricoides","BEN019","FINAL_REPEAT_COPIES","eggs",95.7062923916914
"24","Ascaris_lumbricoides","BEN020","FINAL_MITOGENOME_COPIES","eggs",1.2203289461662
"25","Ascaris_lumbricoides","BEN021","FINAL_MITOGENOME_COPIES","eggs",2.36519449831572
"26","Ascaris_lumbricoides","BEN022","FINAL_REPEAT_COPIES","eggs",15.6187352166996
"27","Ascaris_lumbricoides","BEN023","FINAL_MITOGENOME_COPIES","eggs",1.49258355917737
"28","Ascaris_lumbricoides","BEN024","FINAL_MITOGENOME_COPIES","eggs",2.56764023619582
"29","Ascaris_lumbricoides","BEN024","FINAL_REPEAT_COPIES","eggs",16.9479892776954
"30","Ascaris_lumbricoides","BEN025","FINAL_MITOGENOME_COPIES","eggs",5.55546009180554
"31","Ascaris_lumbricoides","BEN025","FINAL_REPEAT_COPIES","eggs",31.5697839486482
"32","Ascaris_lumbricoides","BGD001","FINAL_MITOGENOME_COPIES","eggs",1.13273925170258
"33","Ascaris_lumbricoides","BGD006","FINAL_MITOGENOME_COPIES","eggs",6.15904654249087
"34","Ascaris_lumbricoides","BGD008","FINAL_MITOGENOME_COPIES","eggs",3.00185352278959
"35","Ascaris_lumbricoides","BGD009","FINAL_MITOGENOME_COPIES","eggs",1.27274781133457
"36","Ascaris_lumbricoides","BGD010","FINAL_MITOGENOME_COPIES","eggs",1.28674866729777
"37","Ascaris_lumbricoides","CHN_NEC001","FINAL_MITOGENOME_COPIES","worms",2.01501653954759
"38","Ascaris_lumbricoides","CHN_TT001","FINAL_MITOGENOME_COPIES","worms",2.91117065880019
"39","Ascaris_lumbricoides","CHN_TT002","FINAL_MITOGENOME_COPIES","worms",1.31489613388149
"40","Ascaris_lumbricoides","CHN_TT002","FINAL_REPEAT_COPIES","worms",38.3272748010504
"41","Ascaris_lumbricoides","CHN_TT003","FINAL_MITOGENOME_COPIES","worms",1.24488409331488
"42","Ascaris_lumbricoides","CHN_TT004","FINAL_MITOGENOME_COPIES","worms",1.25188529737154
"43","Ascaris_lumbricoides","CHN_TT006","FINAL_MITOGENOME_COPIES","worms",1.16787084869161
"44","Ascaris_lumbricoides","CHN_TT007","FINAL_MITOGENOME_COPIES","worms",1.90999847869767
"45","Ascaris_lumbricoides","ECU_ALUM001","FINAL_MITOGENOME_COPIES","worms",961.767314771206
"46","Ascaris_lumbricoides","ETH001","FINAL_MITOGENOME_COPIES","worms",1326.76553141494
"47","Ascaris_lumbricoides","ETH001","FINAL_REPEAT_COPIES","worms",16380.248796318
"48","Ascaris_lumbricoides","ETH002","FINAL_MITOGENOME_COPIES","worms",286.351015463177
"49","Ascaris_lumbricoides","ETH002","FINAL_REPEAT_COPIES","worms",46088.3354800057
"50","Ascaris_lumbricoides","ETH_ET103","FINAL_MITOGENOME_COPIES","eggs",0.194112540349347
"51","Ascaris_lumbricoides","KEN001","FINAL_MITOGENOME_COPIES","eggs",0.0277697143912714
"52","Ascaris_lumbricoides","KEN002","FINAL_MITOGENOME_COPIES","eggs",0.047146676681158
"53","Ascaris_lumbricoides","KEN005","FINAL_MITOGENOME_COPIES","eggs",0.0302971442551696
"54","Ascaris_lumbricoides","KEN008","FINAL_MITOGENOME_COPIES","eggs",0.0756223864810782
"55","Ascaris_lumbricoides","KEN_ALUM001","FINAL_MITOGENOME_COPIES","worms",1763.61811713596
"56","Ascaris_lumbricoides","KEN_ALUM001","FINAL_REPEAT_COPIES","worms",0.97855456847386
"57","Ascaris_lumbricoides","KEN_ALUM002","FINAL_MITOGENOME_COPIES","worms",1159.67122764375
"58","Ascaris_lumbricoides","KEN_ALUM002","FINAL_REPEAT_COPIES","worms",3808.62005567744
"59","Ascaris_lumbricoides","KEN_ALUM003","FINAL_MITOGENOME_COPIES","worms",1557.78203858087
"60","Ascaris_lumbricoides","KEN_ALUM003","FINAL_REPEAT_COPIES","worms",11054.9842325654
"61","Ascaris_lumbricoides","KEN_ALUM004","FINAL_MITOGENOME_COPIES","worms",216.989763025684
"62","Ascaris_lumbricoides","KEN_ALUM004","FINAL_REPEAT_COPIES","worms",2.03731852780623
"63","Ascaris_lumbricoides","KEN_ALUM005","FINAL_MITOGENOME_COPIES","worms",372.571774129615
"64","Ascaris_lumbricoides","KEN_ALUM005","FINAL_REPEAT_COPIES","worms",0.569486675095443
"65","Ascaris_lumbricoides","KEN_ALUM006","FINAL_MITOGENOME_COPIES","worms",789.862407827238
"66","Ascaris_lumbricoides","KEN_ALUM007","FINAL_MITOGENOME_COPIES","worms",470.604375727906
"67","Ascaris_lumbricoides","KEN_ALUM008","FINAL_MITOGENOME_COPIES","worms",1210.66498956841
"68","Ascaris_lumbricoides","KEN_ALUM008","FINAL_REPEAT_COPIES","worms",6447.52552646621
"69","Ascaris_lumbricoides","KEN_ALUM009","FINAL_MITOGENOME_COPIES","worms",1286.19470362115
"70","Ascaris_lumbricoides","KEN_ALUM009","FINAL_REPEAT_COPIES","worms",4900.31555423714
"71","Ascaris_lumbricoides","KEN_ALUM010","FINAL_MITOGENOME_COPIES","worms",732.036834485137
"72","Ascaris_lumbricoides","KEN_ALUM010","FINAL_REPEAT_COPIES","worms",0.697821700469064
"73","Ascaris_lumbricoides","KEN_ALUM011","FINAL_MITOGENOME_COPIES","worms",393.266032864565
"74","Ascaris_lumbricoides","KEN_ALUM012","FINAL_MITOGENOME_COPIES","worms",407.536238866783
"75","Ascaris_lumbricoides","KEN_ALUM013","FINAL_MITOGENOME_COPIES","worms",407.084502902442
"76","Ascaris_lumbricoides","KEN_ALUM014","FINAL_MITOGENOME_COPIES","worms",422.9961903536
