"","CHROM","POS","sample.id","REF_depth","ALT_depth","SUM_DEPTH","allele_frequency","country","mean_freq_pos_country","scaffold","species"
"1","3_ascaris_lumbricoides",6784822,"BEN002_trimmed",0,0,0,NA,"Benin",0.166666666666667,"3a","Ascaris_lumbricoides"
"2","3_ascaris_lumbricoides",6784822,"BEN005_trimmed",0,1,1,1,"Benin",0.166666666666667,"3a","Ascaris_lumbricoides"
"3","3_ascaris_lumbricoides",6784822,"BEN010_trimmed",0,0,0,NA,"Benin",0.166666666666667,"3a","Ascaris_lumbricoides"
"4","3_ascaris_lumbricoides",6784822,"BEN014_trimmed",3,0,3,0,"Benin",0.166666666666667,"3a","Ascaris_lumbricoides"
"5","3_ascaris_lumbricoides",6784822,"BEN015_trimmed",1,0,1,0,"Benin",0.166666666666667,"3a","Ascaris_lumbricoides"
"6","3_ascaris_lumbricoides",6784822,"BEN019_trimmed",1,0,1,0,"Benin",0.166666666666667,"3a","Ascaris_lumbricoides"
"7","3_ascaris_lumbricoides",6784822,"BEN022_trimmed",1,0,1,0,"Benin",0.166666666666667,"3a","Ascaris_lumbricoides"
"8","3_ascaris_lumbricoides",6784822,"BEN025_trimmed",1,0,1,0,"Benin",0.166666666666667,"3a","Ascaris_lumbricoides"
"9","3_ascaris_lumbricoides",6784822,"ETH001_trimmed",1172,102,1274,0.0800627943485086,"Ethiopia",0.0686715370955486,"3a","Ascaris_lumbricoides"
"10","3_ascaris_lumbricoides",6784822,"ETH002_trimmed",4312,262,4574,0.0572802798425885,"Ethiopia",0.0686715370955486,"3a","Ascaris_lumbricoides"
"11","3_ascaris_lumbricoides",6784822,"KEN_ALUM001_trimmed",0,0,0,NA,"Kenya",0.125133885546851,"3a","Ascaris_lumbricoides"
"12","3_ascaris_lumbricoides",6784822,"KEN_ALUM002_trimmed",255,25,280,0.0892857142857143,"Kenya",0.125133885546851,"3a","Ascaris_lumbricoides"
"13","3_ascaris_lumbricoides",6784822,"KEN_ALUM003_trimmed",478,35,513,0.0682261208576998,"Kenya",0.125133885546851,"3a","Ascaris_lumbricoides"
"14","3_ascaris_lumbricoides",6784822,"KEN_ALUM004_trimmed",0,0,0,NA,"Kenya",0.125133885546851,"3a","Ascaris_lumbricoides"
"15","3_ascaris_lumbricoides",6784822,"KEN_ALUM005_trimmed",0,0,0,NA,"Kenya",0.125133885546851,"3a","Ascaris_lumbricoides"
"16","3_ascaris_lumbricoides",6784822,"KEN_ALUM008_trimmed",205,19,224,0.0848214285714286,"Kenya",0.125133885546851,"3a","Ascaris_lumbricoides"
"17","3_ascaris_lumbricoides",6784822,"KEN_ALUM009_trimmed",280,25,305,0.0819672131147541,"Kenya",0.125133885546851,"3a","Ascaris_lumbricoides"
"18","3_ascaris_lumbricoides",6784822,"KEN_ALUM010_trimmed",0,0,0,NA,"Kenya",0.125133885546851,"3a","Ascaris_lumbricoides"
"19","3_ascaris_lumbricoides",6784822,"KEN_ALUM017_trimmed",14,2,16,0.125,"Kenya",0.125133885546851,"3a","Ascaris_lumbricoides"
