"","sample_id","country","species","scaffold_name","scaffold_start","scaffold_end","target_size","target_name","raw_read_counts","coverage_per_base_target","coverage_per_base_target_plus_0.01","target","mean_exon_normal_cov_per_country_plus_0.01","FINAL_GENOME_COPIES"
"1","BEN_merged.bam","Benin","Ascaris_lumbricoides","52_ascaris_lumbricoides",152839,152914,75,"ascaris_germline_repeat_58",63,0.84,0.85,"ascaris_germline_repeat",0.0107672108096784,78.9433786543825
"2","BEN_merged.bam","Benin","Ascaris_lumbricoides","52_ascaris_lumbricoides",147342,147414,72,"ascaris_germline_repeat_66",18,0.25,0.26,"ascaris_germline_repeat",0.0107672108096784,24.1473864119288
"3","BEN_merged.bam","Benin","Ascaris_lumbricoides","3_ascaris_lumbricoides",6782989,6783064,75,"ascaris_germline_repeat_23",16,0.213333333333333,0.223333333333333,"ascaris_germline_repeat",0.0107672108096784,20.7419857640927
"4","BEN_merged.bam","Benin","Ascaris_lumbricoides","52_ascaris_lumbricoides",148125,148200,75,"ascaris_germline_repeat_63",75,1,1.01,"ascaris_germline_repeat",0.0107672108096784,93.803308754031
"5","BEN_merged.bam","Benin","Ascaris_lumbricoides","23_ascaris_lumbricoides",1143291,1143359,68,"ascaris_germline_repeat_36",13,0.191176470588235,0.201176470588235,"ascaris_germline_repeat",0.0107672108096784,18.6841768164698
"6","BEN_merged.bam","Benin","Ascaris_lumbricoides","23_ascaris_lumbricoides",1132189,1132264,75,"ascaris_germline_repeat_48",31,0.413333333333333,0.423333333333333,"ascaris_germline_repeat",0.0107672108096784,39.3168983886533
"7","BEN_merged.bam","Benin","Ascaris_lumbricoides","3_ascaris_lumbricoides",6785645,6785720,75,"ascaris_germline_repeat_2",16,0.213333333333333,0.223333333333333,"ascaris_germline_repeat",0.0107672108096784,20.7419857640927
"8","BEN_merged.bam","Benin","Ascaris_lumbricoides","23_ascaris_lumbricoides",1132309,1132384,75,"ascaris_germline_repeat_47",29,0.386666666666667,0.396666666666667,"ascaris_germline_repeat",0.0107672108096784,36.8402433720452
"9","BEN_merged.bam","Benin","Ascaris_lumbricoides","3_ascaris_lumbricoides",6784799,6784874,75,"ascaris_germline_repeat_8",13,0.173333333333333,0.183333333333333,"ascaris_germline_repeat",0.0107672108096784,17.0270032391805
"10","BEN_merged.bam","Benin","Ascaris_lumbricoides","3_ascaris_lumbricoides",6783110,6783185,75,"ascaris_germline_repeat_22",16,0.213333333333333,0.223333333333333,"ascaris_germline_repeat",0.0107672108096784,20.7419857640927
"11","BEN_merged.bam","Benin","Ascaris_lumbricoides","52_ascaris_lumbricoides",150439,150514,75,"ascaris_germline_repeat_62",15,0.2,0.21,"ascaris_germline_repeat",0.0107672108096784,19.5036582557886
"12","BEN_merged.bam","Benin","Ascaris_lumbricoides","52_ascaris_lumbricoides",147582,147657,75,"ascaris_germline_repeat_64",51,0.68,0.69,"ascaris_germline_repeat",0.0107672108096784,64.083448554734
"13","BEN_merged.bam","Benin","Ascaris_lumbricoides","3_ascaris_lumbricoides",6784678,6784753,75,"ascaris_germline_repeat_9",12,0.16,0.17,"ascaris_germline_repeat",0.0107672108096784,15.7886757308765
"14","BEN_merged.bam","Benin","Ascaris_lumbricoides","3_ascaris_lumbricoides",6785524,6785599,75,"ascaris_germline_repeat_3",27,0.36,0.37,"ascaris_germline_repeat",0.0107672108096784,34.3635883554371
"15","BEN_merged.bam","Benin","Ascaris_lumbricoides","3_ascaris_lumbricoides",6785162,6785237,75,"ascaris_germline_repeat_5",13,0.173333333333333,0.183333333333333,"ascaris_germline_repeat",0.0107672108096784,17.0270032391805
"16","BEN_merged.bam","Benin","Ascaris_lumbricoides","52_ascaris_lumbricoides",147462,147537,75,"ascaris_germline_repeat_65",135,1.8,1.81,"ascaris_germline_repeat",0.0107672108096784,168.102959252273
"17","BEN_merged.bam","Benin","Ascaris_lumbricoides","52_ascaris_lumbricoides",152359,152434,75,"ascaris_germline_repeat_60",62,0.826666666666667,0.836666666666667,"ascaris_germline_repeat",0.0107672108096784,77.7050511460785
"18","BEN_merged.bam","Benin","Ascaris_lumbricoides","23_ascaris_lumbricoides",1143164,1143239,75,"ascaris_germline_repeat_37",147,1.96,1.97,"ascaris_germline_repeat",0.0107672108096784,182.962889351922
"19","BEN_merged.bam","Benin","Ascaris_lumbricoides","300_ascaris_lumbricoides",17413,17488,75,"ascaris_germline_repeat_79",16,0.213333333333333,0.223333333333333,"ascaris_germline_repeat",0.0107672108096784,20.7419857640927
"20","CHN_merged.bam","China","Ascaris_lumbricoides","23_ascaris_lumbricoides",1132189,1132264,75,"ascaris_germline_repeat_48",11,0.146666666666667,0.156666666666667,"ascaris_germline_repeat",0.0100126458921265,15.646879791271
"21","CHN_merged.bam","China","Ascaris_lumbricoides","52_ascaris_lumbricoides",147462,147537,75,"ascaris_germline_repeat_65",36,0.48,0.49,"ascaris_germline_repeat",0.0100126458921265,48.93811338972
"22","CHN_merged.bam","China","Ascaris_lumbricoides","3_ascaris_lumbricoides",6785524,6785599,75,"ascaris_germline_repeat_3",11,0.146666666666667,0.156666666666667,"ascaris_germline_repeat",0.0100126458921265,15.646879791271
"23","CHN_merged.bam","China","Necator_americanus","1_necator_americanus",9848,9936,88,"necator_smith_repeat_16",14,0.159090909090909,0.169090909090909,"necator_repeat",0.0821798032357403,2.05757257176506
"24","CHN_merged.bam","China","Necator_americanus","3_necator_americanus",322241,322329,88,"necator_smith_repeat_60",17,0.193181818181818,0.203181818181818,"necator_repeat",0.0821798032357403,2.47240575155641
"25","CHN_merged.bam","China","Necator_americanus","4_necator_americanus",38896990,38897078,88,"necator_smith_repeat_179",598,6.79545454545455,6.80545454545455,"necator_repeat",0.0821798032357403,82.81176490448
"26","CHN_merged.bam","China","Necator_americanus","1_necator_americanus",5292,5380,88,"necator_smith_repeat_36",114,1.29545454545455,1.30545454545455,"necator_repeat",0.0821798032357403,15.8853452314765
"27","CHN_merged.bam","China","Necator_americanus","3_necator_americanus",324456,324544,88,"necator_smith_repeat_69",70,0.795454545454545,0.805454545454545,"necator_repeat",0.0821798032357403,9.80112526120348
"28","CHN_merged.bam","China","Necator_americanus","1_necator_americanus",5123,5211,88,"necator_smith_repeat_37",24,0.272727272727273,0.282727272727273,"necator_repeat",0.0821798032357403,3.44034983773621
"29","CHN_merged.bam","China","Necator_americanus","1_necator_americanus",11370,11458,88,"necator_smith_repeat_7",33,0.375,0.385,"necator_repeat",0.0821798032357403,4.68484937711024
"30","CHN_merged.bam","China","Necator_americanus","1_necator_americanus",11708,11796,88,"necator_smith_repeat_5",133,1.51136363636364,1.52136363636364,"necator_repeat",0.0821798032357403,18.5126220368217
"31","CHN_merged.bam","China","Necator_americanus","4_necator_americanus",38897329,38897417,88,"necator_smith_repeat_181",129,1.46590909090909,1.47590909090909,"necator_repeat",0.0821798032357403,17.9595111304332
"32","CHN_merged.bam","China","Necator_americanus","1_necator_americanus",11539,11627,88,"necator_smith_repeat_6",62,0.704545454545455,0.714545454545455,"necator_repeat",0.0821798032357403,8.69490344842656
"33","CHN_merged.bam","China","Necator_americanus","4_necator_americanus",38897498,38897586,88,"necator_smith_repeat_182",24,0.272727272727273,0.282727272727273,"necator_repeat",0.0821798032357403,3.44034983773621
